City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,suntar,62.1444,117.6319,-39.75,98,100,3.09,RU,1701632618
115,tiksi,71.6872,128.8694,-15.39,99,100,9.75,RU,1701632619
116,ancud,-41.8697,-73.8203,55.87,53,19,4.09,CL,1701632621
117,lebu,-37.6167,-73.65,56.1,64,0,25.32,CL,1701632623
118,borovskoy,53.8,64.15,12.63,89,69,8.43,KZ,1701632625
119,chonchi,-42.6128,-73.8092,56.41,50,60,4.68,CL,1701632627
120,bamboo flat,11.7,92.7167,82.49,83,40,4.61,IN,1701632628
121,kapuskasing,49.4169,-82.4331,26.6,59,40,9.22,CA,1701632630
122,magadan,59.5667,150.8,0.43,85,94,7.56,RU,1701632632
123,krasnokamensk,50.0979,118.0369,2.98,97,9,5.99,RU,1701632634
124,mana,5.6592,-53.7767,82.33,75,100,10.16,GF,1701632635
125,hithadhoo,-0.6,73.0833,81.93,79,11,8.43,MV,1701632637
126,porto novo,6.4965,2.6036,84.02,84,6,7.81,BJ,1701632639
127,petropavlovsk-kamchatsky,53.0452,158.6483,18.45,76,40,11.18,RU,1701632636
128,afaahiti,-17.75,-149.2833,84.07,83,100,23.85,PF,1701632642
129,hatillo,18.4863,-66.8254,85.01,68,17,4.0,PR,1701632644
130,harper,4.375,-7.7169,79.9,84,0,8.66,LR,1701632646
131,pitkyaranta,61.5734,31.4792,10.51,99,94,6.17,RU,1701632648
132,mao,39.8885,4.2658,50.56,71,20,1.14,ES,1701632650
133,badger,64.8,-147.5333,-4.65,74,75,0.0,US,1701632652
134,thinadhoo,0.5333,72.9333,82.09,76,18,7.0,MV,1701632654
135,puerto el triunfo,13.2833,-88.55,85.24,64,21,7.29,SV,1701632655
136,coquimbo,-29.9533,-71.3436,65.93,63,0,13.8,CL,1701632657
137,wuwei,37.9281,102.6414,34.59,27,47,3.04,CN,1701632659
138,island harbour,50.724,-1.2758,50.94,89,100,10.0,GB,1701632661
139,katsuren-haebaru,26.3369,127.8719,66.97,95,100,10.36,JP,1701632663
140,college,64.8569,-147.8028,-3.55,75,20,0.0,US,1701632469
141,keflavik,64.0049,-22.5624,32.43,93,100,16.11,IS,1701632666
142,leava,-14.3,-178.1667,83.39,77,17,17.18,WF,1701632668
143,tan-tan,28.438,-11.1032,62.89,80,7,6.51,MA,1701632670
144,arraial do cabo,-22.9661,-42.0278,85.96,74,40,16.11,BR,1701632674
145,teluknaga,-6.0989,106.6381,81.37,100,40,4.61,ID,1701632676
146,tual,-5.6667,132.75,83.17,74,97,7.09,ID,1701632678
147,gandarbal,34.2333,74.7833,44.15,39,100,1.34,IN,1701632680
148,tindouf,27.6711,-8.1474,68.45,32,0,4.61,DZ,1701632681
149,ola,59.5833,151.2833,-0.81,88,88,8.16,RU,1701632683
150,kiunga,-6.1219,141.2906,74.35,100,100,1.34,PG,1701632685
151,constantia,44.1833,28.65,39.88,93,100,10.69,RO,1701632687
152,puyang chengguanzhen,35.7028,115.0053,38.1,42,6,8.61,CN,1701632689
153,langsa,4.4683,97.9683,74.52,98,100,1.92,ID,1701632691
154,georgetown,5.4112,100.3354,80.02,92,20,3.44,MY,1701632692
155,mwene-ditu,-7.0,23.45,63.86,98,58,3.47,CD,1701632694
156,ar rutbah,33.0381,40.2848,57.92,43,6,9.37,IQ,1701632696
157,plastun,44.7561,136.2939,18.36,71,9,5.03,RU,1701632697
158,tura,25.5198,90.2201,62.19,74,100,4.5,IN,1701632699
159,forster,-32.1667,152.5167,63.28,100,80,7.81,AU,1701632701
160,colonia,50.9333,6.95,33.42,87,75,12.66,DE,1701632459
161,nchelenge,-9.3451,28.734,68.41,90,100,2.15,ZM,1701632705
162,gandajika,-6.75,23.95,66.06,97,99,2.75,CD,1701632707
163,batie,9.8833,-2.9167,84.31,16,40,4.59,BF,1701632708
164,ceeldheer,3.8488,47.1806,79.86,78,82,20.67,SO,1701632710
165,ciudad melchor muzquiz,27.8833,-101.5167,69.37,20,100,5.64,MX,1701632712
166,brisas de zicatela,15.8369,-97.0419,86.52,51,0,6.91,MX,1701632714
167,san patricio,28.017,-97.5169,73.87,26,100,4.03,US,1701632716
168,guerrero negro,27.9769,-114.0611,72.27,30,0,9.01,MX,1701632718
169,flying fish cove,-10.4217,105.6791,76.68,88,75,9.22,CX,1701632720
170,fort bragg,35.139,-79.006,73.54,76,100,12.66,US,1701632722
171,mili,6.0815,171.735,81.37,81,100,14.74,MH,1701632726
172,port macquarie,-31.4333,152.9167,67.89,86,17,7.81,AU,1701632728
173,holualoa,19.6228,-155.9522,78.87,79,0,8.05,US,1701632730
174,vadso,70.0744,29.7487,26.76,80,75,8.05,NO,1701632731
175,bandarbeyla,9.4942,50.8122,77.77,71,100,22.66,SO,1701632733
176,padang,-0.9492,100.3543,75.25,89,100,2.68,ID,1701632735
177,kangaba,11.9333,-8.4167,82.27,18,86,5.91,ML,1701632737
178,williston,48.147,-103.618,40.8,55,11,3.0,US,1701632739
179,south hedland,-20.4089,118.5983,73.33,94,0,6.91,AU,1701632741
180,kalmunai,7.4167,81.8167,77.7,90,38,6.33,LK,1701632743
181,margate,51.3813,1.3862,47.89,90,100,14.0,GB,1701632745
182,polyarnyy,69.1989,33.4478,24.53,94,100,3.85,RU,1701632747
183,port mathurin,-19.6833,63.4167,78.42,85,100,14.52,MU,1701632748
184,punta arenas,-53.15,-70.9167,50.11,71,75,27.63,CL,1701632547
185,puerto ayora,-0.7393,-90.3518,82.36,95,70,10.0,EC,1701632752
186,tolanaro,-25.0319,46.9987,73.47,68,40,13.8,MG,1701632754
187,bridgewater,44.3835,-64.5155,37.08,79,100,11.5,CA,1701632755
188,turaif,31.6725,38.6637,57.45,47,0,11.5,SA,1701632757
